Timestamp,Reference_id,Action,Ingredient,Amount,Unit,Order_id
2025-09-21T08:03:00.000000Z,#012696,Deduct,espresso,18,(g),fEQlIJeknDZHZ8qSoDwiUnWxtmSZY
2025-09-21T08:03:00.000000Z,#012696,Deduct,6oz cup,1,cup,fEQlIJeknDZHZ8qSoDwiUnWxtmSZY
2025-09-21T08:03:00.000000Z,#012696,Deduct,whole milk,2,(oz),fEQlIJeknDZHZ8qSoDwiUnWxtmSZY
2025-09-21T08:03:00.000000Z,#012696,Deduct,seasonal syrup,3,pump,fEQlIJeknDZHZ8qSoDwiUnWxtmSZY
2025-09-21T08:09:00.000000Z,#012697,Deduct,espresso,54,(g),VJ3G64OGWWUKO8tACoxmLH0eAdIZY
2025-09-21T08:09:00.000000Z,#012697,Deduct,16oz cup,2,cup,VJ3G64OGWWUKO8tACoxmLH0eAdIZY
2025-09-21T08:09:00.000000Z,#012697,Deduct,soy milk,2,(oz),VJ3G64OGWWUKO8tACoxmLH0eAdIZY
2025-09-21T08:10:00.000000Z,#012698,Deduct,espresso,36,(g),VT4KJIj944cKBtXAk6mjAFhlSHQZY
2025-09-21T08:10:00.000000Z,#012698,Deduct,6oz cup,1,cup,VT4KJIj944cKBtXAk6mjAFhlSHQZY
2025-09-21T08:10:00.000000Z,#012698,Deduct,whole milk,4,(oz),VT4KJIj944cKBtXAk6mjAFhlSHQZY
2025-09-21T08:10:00.000000Z,#012698,Deduct,chocolate syrup,3,pump,VT4KJIj944cKBtXAk6mjAFhlSHQZY
2025-09-21T08:10:00.000000Z,#012698,Deduct,4oz cup,1,cup,VT4KJIj944cKBtXAk6mjAFhlSHQZY
2025-09-21T08:20:00.000000Z,#012699,Deduct,espresso,18,(g),fqX5Z5Pkcgx8dBchi7Fs0sMX63KZY
2025-09-21T08:20:00.000000Z,#012699,Deduct,16oz cup,1,cup,fqX5Z5Pkcgx8dBchi7Fs0sMX63KZY
