Timestamp,Reference_id,Action,Ingredient,Amount,Unit,Order_id
2025-10-06T08:04:00.000000Z,#014096,Deduct,espresso,36,(g),pRC4IYafObcc30sXIwtYi3NsmsYZY
2025-10-06T08:04:00.000000Z,#014096,Deduct,16oz cup,1,cup,pRC4IYafObcc30sXIwtYi3NsmsYZY
2025-10-06T08:04:00.000000Z,#014096,Deduct,almond milk,2,(oz),pRC4IYafObcc30sXIwtYi3NsmsYZY
2025-10-06T08:14:00.000000Z,#014097,Deduct,espresso,18,(g),TMJwNRP6XKQjouHt7C26MV2akFOZY
2025-10-06T08:14:00.000000Z,#014097,Deduct,4oz cup,1,cup,TMJwNRP6XKQjouHt7C26MV2akFOZY
2025-10-06T08:14:00.000000Z,#014097,Deduct,oat milk,1,(oz),TMJwNRP6XKQjouHt7C26MV2akFOZY
2025-10-06T08:19:00.000000Z,#014098,Deduct,espresso,38,(g),NfoCpB6M0u6NLs5SCCSXpCkyO5AZY
2025-10-06T08:19:00.000000Z,#014098,Deduct,6oz cup,1,cup,NfoCpB6M0u6NLs5SCCSXpCkyO5AZY
2025-10-06T08:19:00.000000Z,#014098,Deduct,oat milk,2,(oz),NfoCpB6M0u6NLs5SCCSXpCkyO5AZY
2025-10-06T08:19:00.000000Z,#014098,Deduct,hazelnut syrup,3,pump,NfoCpB6M0u6NLs5SCCSXpCkyO5AZY
2025-10-06T08:19:00.000000Z,#014098,Deduct,12oz cup,1,cup,NfoCpB6M0u6NLs5SCCSXpCkyO5AZY
2025-10-06T08:20:00.000000Z,#014099,Deduct,espresso,9,(g),bCu841nItOiOMO2S9d29E1uOXVPZY
2025-10-06T08:20:00.000000Z,#014099,Deduct,4oz cup,1,cup,bCu841nItOiOMO2S9d29E1uOXVPZY
2025-10-06T08:30:00.000000Z,#014100,Deduct,espresso,63,(g),R71wkhrfrqEzLu5ODQHbanbx70cZY
2025-10-06T08:30:00.000000Z,#014100,Deduct,16oz cup,1,cup,R71wkhrfrqEzLu5ODQHbanbx70cZY
2025-10-06T08:30:00.000000Z,#014100,Deduct,hazelnut syrup,3,pump,R71wkhrfrqEzLu5ODQHbanbx70cZY
2025-10-06T08:30:00.000000Z,#014100,Deduct,12oz cup,1,cup,R71wkhrfrqEzLu5ODQHbanbx70cZY
2025-10-06T08:33:00.000000Z,#014101,Deduct,espresso,27,(g),vqT7YUd2ryBtctibI33olTtwOLRZY
2025-10-06T08:33:00.000000Z,#014101,Deduct,12oz cup,1,cup,vqT7YUd2ryBtctibI33olTtwOLRZY
