Timestamp,Reference_id,Action,Ingredient,Amount,Unit,Order_id
2025-10-09T08:02:00.000000Z,#014396,Deduct,espresso,36,(g),bgDvYFTKmXO6zekZxmJtZHyhLYEZY
2025-10-09T08:02:00.000000Z,#014396,Deduct,4oz cup,1,cup,bgDvYFTKmXO6zekZxmJtZHyhLYEZY
2025-10-09T08:02:00.000000Z,#014396,Deduct,whole milk,5,(oz),bgDvYFTKmXO6zekZxmJtZHyhLYEZY
2025-10-09T08:02:00.000000Z,#014396,Deduct,hazelnut syrup,3,pump,bgDvYFTKmXO6zekZxmJtZHyhLYEZY
2025-10-09T08:02:00.000000Z,#014396,Deduct,16oz cup,1,cup,bgDvYFTKmXO6zekZxmJtZHyhLYEZY
2025-10-09T08:03:00.000000Z,#014397,Deduct,espresso,45,(g),5rT8GzA0FZFfXqUJuixSv9r6UMaZY
2025-10-09T08:03:00.000000Z,#014397,Deduct,4oz cup,2,cup,5rT8GzA0FZFfXqUJuixSv9r6UMaZY
2025-10-09T08:03:00.000000Z,#014397,Deduct,whole milk,1,(oz),5rT8GzA0FZFfXqUJuixSv9r6UMaZY
2025-10-09T08:13:00.000000Z,#014398,Deduct,espresso,36,(g),DQP2W0lJqD1fKve42ekJlTy3R7GZY
2025-10-09T08:13:00.000000Z,#014398,Deduct,16oz cup,1,cup,DQP2W0lJqD1fKve42ekJlTy3R7GZY
2025-10-09T08:13:00.000000Z,#014398,Deduct,whole milk,8,(oz),DQP2W0lJqD1fKve42ekJlTy3R7GZY
2025-10-09T08:15:00.000000Z,#014399,Deduct,espresso,18,(g),P02qKm8swOIiXa1YrX9IYfR0NgbZY
2025-10-09T08:15:00.000000Z,#014399,Deduct,12oz cup,1,cup,P02qKm8swOIiXa1YrX9IYfR0NgbZY
2025-10-09T08:15:00.000000Z,#014399,Deduct,oat milk,8,(oz),P02qKm8swOIiXa1YrX9IYfR0NgbZY
2025-10-09T08:24:00.000000Z,#014400,Deduct,espresso,24,(g),BPtVQxoBtx7qNBEGAVbivPHaJ9AZY
2025-10-09T08:24:00.000000Z,#014400,Deduct,16oz cup,2,cup,BPtVQxoBtx7qNBEGAVbivPHaJ9AZY
2025-10-09T08:24:00.000000Z,#014400,Deduct,almond milk,2,(oz),BPtVQxoBtx7qNBEGAVbivPHaJ9AZY
2025-10-09T08:24:00.000000Z,#014400,Deduct,soy milk,2,(oz),BPtVQxoBtx7qNBEGAVbivPHaJ9AZY
2025-10-09T08:24:00.000000Z,#014400,Deduct,vanilla syrup,3,pump,BPtVQxoBtx7qNBEGAVbivPHaJ9AZY
2025-10-09T08:38:00.000000Z,#014401,Deduct,espresso,36,(g),dfUaZRKiJXdpi8Ocvle5s0FfoIfZY
2025-10-09T08:38:00.000000Z,#014401,Deduct,16oz cup,2,cup,dfUaZRKiJXdpi8Ocvle5s0FfoIfZY
2025-10-09T08:38:00.000000Z,#014401,Deduct,soy milk,4,(oz),dfUaZRKiJXdpi8Ocvle5s0FfoIfZY
2025-10-09T08:38:00.000000Z,#014402,Deduct,espresso,36,(g),VP0VNNo2mViTWKPgOuRaYXN75F6YY
2025-10-09T08:38:00.000000Z,#014402,Deduct,12oz cup,1,cup,VP0VNNo2mViTWKPgOuRaYXN75F6YY
2025-10-09T08:38:00.000000Z,#014402,Deduct,oat milk,2,(oz),VP0VNNo2mViTWKPgOuRaYXN75F6YY
2025-10-09T08:38:00.000000Z,#014402,Deduct,vanilla syrup,3,pump,VP0VNNo2mViTWKPgOuRaYXN75F6YY
2025-10-09T08:39:00.000000Z,#014403,Deduct,espresso,9,(g),zKwAhZpdjUa3A4FlrSJrxGGvHCaZY
2025-10-09T08:39:00.000000Z,#014403,Deduct,4oz cup,1,cup,zKwAhZpdjUa3A4FlrSJrxGGvHCaZY
2025-10-09T08:39:00.000000Z,#014403,Deduct,whole milk,1,(oz),zKwAhZpdjUa3A4FlrSJrxGGvHCaZY
2025-10-09T08:53:00.000000Z,#014404,Deduct,espresso,36,(g),9dzeR962KSgtgtfxjNqqTzTIhoIZY
2025-10-09T08:53:00.000000Z,#014404,Deduct,4oz cup,1,cup,9dzeR962KSgtgtfxjNqqTzTIhoIZY
2025-10-09T08:53:00.000000Z,#014404,Deduct,soy milk,1,(oz),9dzeR962KSgtgtfxjNqqTzTIhoIZY
2025-10-09T08:53:00.000000Z,#014404,Deduct,vanilla syrup,3,pump,9dzeR962KSgtgtfxjNqqTzTIhoIZY
2025-10-09T08:53:00.000000Z,#014404,Deduct,12oz cup,1,cup,9dzeR962KSgtgtfxjNqqTzTIhoIZY
2025-10-09T08:53:00.000000Z,#014404,Deduct,almond milk,2,(oz),9dzeR962KSgtgtfxjNqqTzTIhoIZY
2025-10-09T08:54:00.000000Z,#014405,Deduct,espresso,36,(g),LmitridifSmW85fSmmROyy4lT5EZY
2025-10-09T08:54:00.000000Z,#014405,Deduct,4oz cup,1,cup,LmitridifSmW85fSmmROyy4lT5EZY
2025-10-09T08:54:00.000000Z,#014405,Deduct,whole milk,9,(oz),LmitridifSmW85fSmmROyy4lT5EZY
2025-10-09T08:54:00.000000Z,#014405,Deduct,16oz cup,1,cup,LmitridifSmW85fSmmROyy4lT5EZY
