Timestamp,Reference_id,Action,Ingredient,Amount,Unit,Order_id
2025-10-20T08:04:00.000000Z,#015496,Deduct,espresso,54,(g),ZjjQ9DwCrjGezri7WKGkuwoIE95YY
2025-10-20T08:04:00.000000Z,#015496,Deduct,12oz cup,1,cup,ZjjQ9DwCrjGezri7WKGkuwoIE95YY
2025-10-20T08:04:00.000000Z,#015496,Deduct,16oz cup,1,cup,ZjjQ9DwCrjGezri7WKGkuwoIE95YY
2025-10-20T08:04:00.000000Z,#015496,Deduct,whole milk,2,(oz),ZjjQ9DwCrjGezri7WKGkuwoIE95YY
2025-10-20T08:04:00.000000Z,#015496,Deduct,caramel syrup,3,pump,ZjjQ9DwCrjGezri7WKGkuwoIE95YY
2025-10-20T08:06:00.000000Z,#015497,Deduct,espresso,18,(g),jWOq11WZnW5u2O5t7Qjrle9D8R8YY
2025-10-20T08:06:00.000000Z,#015497,Deduct,6oz cup,1,cup,jWOq11WZnW5u2O5t7Qjrle9D8R8YY
2025-10-20T08:06:00.000000Z,#015497,Deduct,whole milk,3,(oz),jWOq11WZnW5u2O5t7Qjrle9D8R8YY
2025-10-20T08:09:00.000000Z,#015498,Deduct,espresso,45,(g),XECVkxycV2afO5LxDBEdgBW3gOGZY
2025-10-20T08:09:00.000000Z,#015498,Deduct,16oz cup,1,cup,XECVkxycV2afO5LxDBEdgBW3gOGZY
2025-10-20T08:09:00.000000Z,#015498,Deduct,caramel syrup,3,pump,XECVkxycV2afO5LxDBEdgBW3gOGZY
2025-10-20T08:09:00.000000Z,#015498,Deduct,12oz cup,1,cup,XECVkxycV2afO5LxDBEdgBW3gOGZY
2025-10-20T08:09:00.000000Z,#015498,Deduct,hazelnut syrup,3,pump,XECVkxycV2afO5LxDBEdgBW3gOGZY
2025-10-20T08:10:00.000000Z,#015499,Deduct,espresso,18,(g),nKFlXPWLi0D65BTamuD9CBEWgWXZY
2025-10-20T08:10:00.000000Z,#015499,Deduct,12oz cup,1,cup,nKFlXPWLi0D65BTamuD9CBEWgWXZY
2025-10-20T08:10:00.000000Z,#015499,Deduct,soy milk,8,(oz),nKFlXPWLi0D65BTamuD9CBEWgWXZY
2025-10-20T08:20:00.000000Z,#015500,Deduct,espresso,18,(g),DKSdmfd95ZHHDNGPNxeAQZOelhNZY
2025-10-20T08:20:00.000000Z,#015500,Deduct,16oz cup,1,cup,DKSdmfd95ZHHDNGPNxeAQZOelhNZY
2025-10-20T08:20:00.000000Z,#015500,Deduct,whole milk,8,(oz),DKSdmfd95ZHHDNGPNxeAQZOelhNZY
2025-10-20T08:20:00.000000Z,#015500,Deduct,chocolate syrup,4,pump,DKSdmfd95ZHHDNGPNxeAQZOelhNZY
2025-10-20T08:21:00.000000Z,#015501,Deduct,espresso,33,(g),fcGeOdBVqFH5xDg0phPS46axq5MZY
2025-10-20T08:21:00.000000Z,#015501,Deduct,12oz cup,1,cup,fcGeOdBVqFH5xDg0phPS46axq5MZY
2025-10-20T08:21:00.000000Z,#015501,Deduct,16oz cup,1,cup,fcGeOdBVqFH5xDg0phPS46axq5MZY
2025-10-20T08:26:00.000000Z,#015502,Deduct,espresso,18,(g),fWPQwdKYpAZlJkd9M1GNuVsFLffZY
2025-10-20T08:26:00.000000Z,#015502,Deduct,16oz cup,1,cup,fWPQwdKYpAZlJkd9M1GNuVsFLffZY
2025-10-20T08:26:00.000000Z,#015502,Deduct,whole milk,2,(oz),fWPQwdKYpAZlJkd9M1GNuVsFLffZY
2025-10-20T08:30:00.000000Z,#015503,Deduct,espresso,36,(g),TYr2RfQuBBxbW4RpdoCGTubcagVZY
2025-10-20T08:30:00.000000Z,#015503,Deduct,16oz cup,2,cup,TYr2RfQuBBxbW4RpdoCGTubcagVZY
2025-10-20T08:30:00.000000Z,#015503,Deduct,chocolate syrup,4,pump,TYr2RfQuBBxbW4RpdoCGTubcagVZY
2025-10-20T08:30:00.000000Z,#015503,Deduct,soy milk,16,(oz),TYr2RfQuBBxbW4RpdoCGTubcagVZY
2025-10-20T08:38:00.000000Z,#015504,Deduct,espresso,27,(g),dlbkFXnTkJ4jsZ1gkgbeWdXw1TEZY
2025-10-20T08:38:00.000000Z,#015504,Deduct,16oz cup,1,cup,dlbkFXnTkJ4jsZ1gkgbeWdXw1TEZY
2025-10-20T08:38:00.000000Z,#015504,Deduct,caramel syrup,3,pump,dlbkFXnTkJ4jsZ1gkgbeWdXw1TEZY
2025-10-20T08:47:00.000000Z,#015505,Deduct,espresso,18,(g),vChqDgaZykcG8n2b5QF2651xO6GZY
2025-10-20T08:47:00.000000Z,#015505,Deduct,6oz cup,1,cup,vChqDgaZykcG8n2b5QF2651xO6GZY
2025-10-20T08:47:00.000000Z,#015505,Deduct,whole milk,3,(oz),vChqDgaZykcG8n2b5QF2651xO6GZY
2025-10-20T08:49:00.000000Z,#015506,Deduct,espresso,63,(g),Pmf4XjyRZ7BJFbIpEW3kkB9sJBGZY
2025-10-20T08:49:00.000000Z,#015506,Deduct,16oz cup,2,cup,Pmf4XjyRZ7BJFbIpEW3kkB9sJBGZY
2025-10-20T08:49:00.000000Z,#015506,Deduct,whole milk,2,(oz),Pmf4XjyRZ7BJFbIpEW3kkB9sJBGZY
2025-10-20T08:49:00.000000Z,#015506,Deduct,seasonal syrup,3,pump,Pmf4XjyRZ7BJFbIpEW3kkB9sJBGZY
2025-10-20T08:49:00.000000Z,#015506,Deduct,almond milk,2,(oz),Pmf4XjyRZ7BJFbIpEW3kkB9sJBGZY
2025-10-20T08:49:00.000000Z,#015507,Deduct,espresso,54,(g),jqKDhx1RN3Akl81Ecq0HzAxBvNGZY
2025-10-20T08:49:00.000000Z,#015507,Deduct,16oz cup,2,cup,jqKDhx1RN3Akl81Ecq0HzAxBvNGZY
2025-10-20T08:49:00.000000Z,#015507,Deduct,whole milk,6,(oz),jqKDhx1RN3Akl81Ecq0HzAxBvNGZY
2025-10-20T09:07:00.000000Z,#015508,Deduct,espresso,54,(g),VDwGFJ0nn1Cf0ROwhkBtEuK4M0PZY
2025-10-20T09:07:00.000000Z,#015508,Deduct,4oz cup,1,cup,VDwGFJ0nn1Cf0ROwhkBtEuK4M0PZY
2025-10-20T09:07:00.000000Z,#015508,Deduct,whole milk,2,(oz),VDwGFJ0nn1Cf0ROwhkBtEuK4M0PZY
2025-10-20T09:07:00.000000Z,#015508,Deduct,16oz cup,1,cup,VDwGFJ0nn1Cf0ROwhkBtEuK4M0PZY
2025-10-20T09:07:00.000000Z,#015508,Deduct,almond milk,2,(oz),VDwGFJ0nn1Cf0ROwhkBtEuK4M0PZY
2025-10-20T09:10:00.000000Z,#015509,Deduct,espresso,36,(g),lrwqB4EcTXnVJ9VWKVx0l9RFBOCZY
