Timestamp,Reference_id,Action,Ingredient,Amount,Unit,Order_id
2025-09-24T08:03:00.000000Z,#012996,Deduct,espresso,27,(g),F1Jk76ncqUfo1qX0b5BzwoDpWDAZY
2025-09-24T08:03:00.000000Z,#012996,Deduct,16oz cup,1,cup,F1Jk76ncqUfo1qX0b5BzwoDpWDAZY
2025-09-24T08:03:00.000000Z,#012996,Deduct,whole milk,8,(oz),F1Jk76ncqUfo1qX0b5BzwoDpWDAZY
2025-09-24T08:03:00.000000Z,#012996,Deduct,caramel syrup,3,pump,F1Jk76ncqUfo1qX0b5BzwoDpWDAZY
2025-09-24T08:03:00.000000Z,#012997,Deduct,espresso,18,(g),nk6T0jowG5x7JYH1Pfywd67F0RbZY
2025-09-24T08:03:00.000000Z,#012997,Deduct,16oz cup,1,cup,nk6T0jowG5x7JYH1Pfywd67F0RbZY
2025-09-24T08:03:00.000000Z,#012997,Deduct,soy milk,2,(oz),nk6T0jowG5x7JYH1Pfywd67F0RbZY
2025-09-24T08:03:00.000000Z,#012997,Deduct,hazelnut syrup,3,pump,nk6T0jowG5x7JYH1Pfywd67F0RbZY
2025-09-24T08:03:00.000000Z,#012997,Deduct,4oz cup,1,cup,nk6T0jowG5x7JYH1Pfywd67F0RbZY
2025-09-24T08:03:00.000000Z,#012997,Deduct,almond milk,1,(oz),nk6T0jowG5x7JYH1Pfywd67F0RbZY
2025-09-24T08:04:00.000000Z,#012998,Deduct,espresso,63,(g),n82JPHFZCpCCaFpUrAYHLkt6bsEZY
2025-09-24T08:04:00.000000Z,#012998,Deduct,16oz cup,2,cup,n82JPHFZCpCCaFpUrAYHLkt6bsEZY
2025-09-24T08:04:00.000000Z,#012998,Deduct,whole milk,8,(oz),n82JPHFZCpCCaFpUrAYHLkt6bsEZY
2025-09-24T08:04:00.000000Z,#012999,Deduct,espresso,54,(g),j6uHURjBgwnHRb6xgQUOLaMFGx9YY
2025-09-24T08:04:00.000000Z,#012999,Deduct,12oz cup,1,cup,j6uHURjBgwnHRb6xgQUOLaMFGx9YY
2025-09-24T08:04:00.000000Z,#012999,Deduct,whole milk,2,(oz),j6uHURjBgwnHRb6xgQUOLaMFGx9YY
2025-09-24T08:04:00.000000Z,#012999,Deduct,seasonal syrup,3,pump,j6uHURjBgwnHRb6xgQUOLaMFGx9YY
2025-09-24T08:04:00.000000Z,#012999,Deduct,16oz cup,1,cup,j6uHURjBgwnHRb6xgQUOLaMFGx9YY
2025-09-24T08:04:00.000000Z,#012999,Deduct,soy milk,2,(oz),j6uHURjBgwnHRb6xgQUOLaMFGx9YY
2025-09-24T08:05:00.000000Z,#013000,Deduct,espresso,18,(g),1ptRqbC01xgSfBte0JQk5QqnJXTZY
2025-09-24T08:05:00.000000Z,#013000,Deduct,12oz cup,1,cup,1ptRqbC01xgSfBte0JQk5QqnJXTZY
2025-09-24T08:07:00.000000Z,#013001,Deduct,espresso,36,(g),lFZGibZPDByVtKeMcDlaj42yYpIZY
2025-09-24T08:07:00.000000Z,#013001,Deduct,4oz cup,1,cup,lFZGibZPDByVtKeMcDlaj42yYpIZY
2025-09-24T08:07:00.000000Z,#013001,Deduct,whole milk,2,(oz),lFZGibZPDByVtKeMcDlaj42yYpIZY
2025-09-24T08:07:00.000000Z,#013001,Deduct,16oz cup,1,cup,lFZGibZPDByVtKeMcDlaj42yYpIZY
2025-09-24T08:07:00.000000Z,#013001,Deduct,soy milk,2,(oz),lFZGibZPDByVtKeMcDlaj42yYpIZY
2025-09-24T08:09:00.000000Z,#013002,Deduct,espresso,45,(g),FRZD0D9h3ghLm7Oo3ES96lPydEAZY
2025-09-24T08:09:00.000000Z,#013002,Deduct,16oz cup,2,cup,FRZD0D9h3ghLm7Oo3ES96lPydEAZY
2025-09-24T08:09:00.000000Z,#013002,Deduct,whole milk,16,(oz),FRZD0D9h3ghLm7Oo3ES96lPydEAZY
2025-09-24T08:09:00.000000Z,#013002,Deduct,chocolate syrup,4,pump,FRZD0D9h3ghLm7Oo3ES96lPydEAZY
2025-09-24T08:21:00.000000Z,#013003,Deduct,espresso,45,(g),p1G16SjlfXgKrYFnS8JXsgaLF9UZY
2025-09-24T08:21:00.000000Z,#013003,Deduct,4oz cup,1,cup,p1G16SjlfXgKrYFnS8JXsgaLF9UZY
2025-09-24T08:21:00.000000Z,#013003,Deduct,oat milk,2,(oz),p1G16SjlfXgKrYFnS8JXsgaLF9UZY
2025-09-24T08:21:00.000000Z,#013003,Deduct,chocolate syrup,3,pump,p1G16SjlfXgKrYFnS8JXsgaLF9UZY
2025-09-24T08:21:00.000000Z,#013003,Deduct,16oz cup,1,cup,p1G16SjlfXgKrYFnS8JXsgaLF9UZY
2025-09-24T08:21:00.000000Z,#013003,Deduct,seasonal syrup,3,pump,p1G16SjlfXgKrYFnS8JXsgaLF9UZY
2025-09-24T08:27:00.000000Z,#013004,Deduct,espresso,18,(g),dt9bjyUQbDQdARzhqszxkLpg6HOZY
2025-09-24T08:27:00.000000Z,#013004,Deduct,16oz cup,1,cup,dt9bjyUQbDQdARzhqszxkLpg6HOZY
2025-09-24T08:27:00.000000Z,#013004,Deduct,whole milk,4,(oz),dt9bjyUQbDQdARzhqszxkLpg6HOZY
2025-09-24T08:38:00.000000Z,#013005,Deduct,espresso,63,(g),zGOWkHkZmMaer2Z7G4GxcnveaJ6YY
2025-09-24T08:38:00.000000Z,#013005,Deduct,16oz cup,2,cup,zGOWkHkZmMaer2Z7G4GxcnveaJ6YY
2025-09-24T08:38:00.000000Z,#013005,Deduct,caramel syrup,3,pump,zGOWkHkZmMaer2Z7G4GxcnveaJ6YY
2025-09-24T08:38:00.000000Z,#013005,Deduct,oat milk,2,(oz),zGOWkHkZmMaer2Z7G4GxcnveaJ6YY
2025-09-24T08:40:00.000000Z,#013006,Deduct,espresso,18,(g),NLmCbb0x9Ze3ljjGUJrMXKqcBjYZY
2025-09-24T08:40:00.000000Z,#013006,Deduct,4oz cup,1,cup,NLmCbb0x9Ze3ljjGUJrMXKqcBjYZY
2025-09-24T08:40:00.000000Z,#013006,Deduct,oat milk,2,(oz),NLmCbb0x9Ze3ljjGUJrMXKqcBjYZY
2025-09-24T08:40:00.000000Z,#013006,Deduct,vanilla syrup,3,pump,NLmCbb0x9Ze3ljjGUJrMXKqcBjYZY
2025-09-24T08:45:00.000000Z,#013007,Deduct,espresso,18,(g),NxVGqh49K08pIN2DO3UldZW17SZZY
2025-09-24T08:45:00.000000Z,#013007,Deduct,6oz cup,1,cup,NxVGqh49K08pIN2DO3UldZW17SZZY
2025-09-24T08:45:00.000000Z,#013007,Deduct,whole milk,2,(oz),NxVGqh49K08pIN2DO3UldZW17SZZY
2025-09-24T08:52:00.000000Z,#013008,Deduct,espresso,27,(g),pTFrtYroPGt4mOUtApOdriZnLuNZY
2025-09-24T08:52:00.000000Z,#013008,Deduct,16oz cup,1,cup,pTFrtYroPGt4mOUtApOdriZnLuNZY
2025-09-24T08:52:00.000000Z,#013008,Deduct,oat milk,2,(oz),pTFrtYroPGt4mOUtApOdriZnLuNZY
2025-09-24T08:53:00.000000Z,#013009,Deduct,espresso,72,(g),VZnAH5kyeJfzaCU82eg0CfOzqPNZY
2025-09-24T08:53:00.000000Z,#013009,Deduct,16oz cup,1,cup,VZnAH5kyeJfzaCU82eg0CfOzqPNZY
2025-09-24T08:53:00.000000Z,#013009,Deduct,whole milk,8,(oz),VZnAH5kyeJfzaCU82eg0CfOzqPNZY
2025-09-24T08:53:00.000000Z,#013009,Deduct,hazelnut syrup,3,pump,VZnAH5kyeJfzaCU82eg0CfOzqPNZY
2025-09-24T08:53:00.000000Z,#013009,Deduct,12oz cup,1,cup,VZnAH5kyeJfzaCU82eg0CfOzqPNZY
2025-09-24T08:59:00.000000Z,#013010,Deduct,espresso,27,(g),pBsPHSRuClUop5WKOsg4GwwpJxfZY
2025-09-24T08:59:00.000000Z,#013010,Deduct,16oz cup,2,cup,pBsPHSRuClUop5WKOsg4GwwpJxfZY
2025-09-24T08:59:00.000000Z,#013010,Deduct,whole milk,2,(oz),pBsPHSRuClUop5WKOsg4GwwpJxfZY
2025-09-24T09:02:00.000000Z,#013011,Deduct,espresso,81,(g),lZl9niw8asAODg4Enu4DjJV9iBUZY
2025-09-24T09:02:00.000000Z,#013011,Deduct,12oz cup,2,cup,lZl9niw8asAODg4Enu4DjJV9iBUZY
2025-09-24T09:02:00.000000Z,#013011,Deduct,seasonal syrup,3,pump,lZl9niw8asAODg4Enu4DjJV9iBUZY
2025-09-24T09:18:00.000000Z,#013012,Deduct,espresso,36,(g),Ly0tocILBL0ys0aE2MvLYzjX2mVZY
2025-09-24T09:18:00.000000Z,#013012,Deduct,4oz cup,1,cup,Ly0tocILBL0ys0aE2MvLYzjX2mVZY
2025-09-24T09:18:00.000000Z,#013012,Deduct,whole milk,10,(oz),Ly0tocILBL0ys0aE2MvLYzjX2mVZY
2025-09-24T09:18:00.000000Z,#013012,Deduct,seasonal syrup,3,pump,Ly0tocILBL0ys0aE2MvLYzjX2mVZY
2025-09-24T09:18:00.000000Z,#013012,Deduct,16oz cup,1,cup,Ly0tocILBL0ys0aE2MvLYzjX2mVZY
2025-09-24T09:20:00.000000Z,#013013,Deduct,espresso,45,(g),3uFaVn6bwsWkKGSBuM4B1gBhWw8YY
2025-09-24T09:20:00.000000Z,#013013,Deduct,12oz cup,1,cup,3uFaVn6bwsWkKGSBuM4B1gBhWw8YY
2025-09-24T09:20:00.000000Z,#013013,Deduct,oat milk,2,(oz),3uFaVn6bwsWkKGSBuM4B1gBhWw8YY
2025-09-24T09:20:00.000000Z,#013013,Deduct,6oz cup,1,cup,3uFaVn6bwsWkKGSBuM4B1gBhWw8YY
2025-09-24T09:20:00.000000Z,#013013,Deduct,whole milk,2,(oz),3uFaVn6bwsWkKGSBuM4B1gBhWw8YY
2025-09-24T09:20:00.000000Z,#013013,Deduct,hazelnut syrup,3,pump,3uFaVn6bwsWkKGSBuM4B1gBhWw8YY
2025-09-24T09:21:00.000000Z,#013014,Deduct,espresso,27,(g),jaUGw0GTuDv9jMaEFhJWAEDsfzWZY
2025-09-24T09:21:00.000000Z,#013014,Deduct,16oz cup,2,cup,jaUGw0GTuDv9jMaEFhJWAEDsfzWZY
2025-09-24T09:21:00.000000Z,#013014,Deduct,whole milk,10,(oz),jaUGw0GTuDv9jMaEFhJWAEDsfzWZY
2025-09-24T09:21:00.000000Z,#013014,Deduct,hazelnut syrup,3,pump,jaUGw0GTuDv9jMaEFhJWAEDsfzWZY
2025-09-24T09:26:00.000000Z,#013015,Deduct,espresso,24,(g),bU9rIo80AOqSiW2o0NnToxvq3w7YY
2025-09-24T09:26:00.000000Z,#013015,Deduct,16oz cup,1,cup,bU9rIo80AOqSiW2o0NnToxvq3w7YY
2025-09-24T09:26:00.000000Z,#013015,Deduct,hazelnut syrup,3,pump,bU9rIo80AOqSiW2o0NnToxvq3w7YY
2025-09-24T09:28:00.000000Z,#013016,Deduct,espresso,27,(g),9ZRcoXr84srF2pCuKUQvcOxkjtdZY
2025-09-24T09:28:00.000000Z,#013016,Deduct,16oz cup,1,cup,9ZRcoXr84srF2pCuKUQvcOxkjtdZY
2025-09-24T09:38:00.000000Z,#013017,Deduct,espresso,27,(g),T0rDDLS1H3HTLrmF7RdSpOweLsSZY
2025-09-24T09:38:00.000000Z,#013017,Deduct,16oz cup,1,cup,T0rDDLS1H3HTLrmF7RdSpOweLsSZY
2025-09-24T09:38:00.000000Z,#013017,Deduct,caramel syrup,3,pump,T0rDDLS1H3HTLrmF7RdSpOweLsSZY
2025-09-24T09:47:00.000000Z,#013018,Deduct,espresso,27,(g),PsOseBrQ31WzQROT0pVmotRhlQBZY
2025-09-24T09:47:00.000000Z,#013018,Deduct,12oz cup,1,cup,PsOseBrQ31WzQROT0pVmotRhlQBZY
2025-09-24T09:47:00.000000Z,#013018,Deduct,whole milk,9,(oz),PsOseBrQ31WzQROT0pVmotRhlQBZY
2025-09-24T09:47:00.000000Z,#013018,Deduct,chocolate syrup,3,pump,PsOseBrQ31WzQROT0pVmotRhlQBZY
2025-09-24T09:47:00.000000Z,#013018,Deduct,4oz cup,1,cup,PsOseBrQ31WzQROT0pVmotRhlQBZY
2025-09-24T09:47:00.000000Z,#013018,Deduct,caramel syrup,3,pump,PsOseBrQ31WzQROT0pVmotRhlQBZY
2025-09-24T09:48:00.000000Z,#013019,Deduct,espresso,27,(g),Xax3wZp7PmewAeh1aYbFcFU28NLZY
2025-09-24T09:48:00.000000Z,#013019,Deduct,4oz cup,2,cup,Xax3wZp7PmewAeh1aYbFcFU28NLZY
2025-09-24T09:48:00.000000Z,#013019,Deduct,whole milk,1,(oz),Xax3wZp7PmewAeh1aYbFcFU28NLZY
2025-09-24T09:50:00.000000Z,#013020,Deduct,espresso,54,(g),TYtjpCV0URRaphM3IJjrQZDgHOZZY
2025-09-24T09:50:00.000000Z,#013020,Deduct,16oz cup,1,cup,TYtjpCV0URRaphM3IJjrQZDgHOZZY
2025-09-24T09:50:00.000000Z,#013020,Deduct,chocolate syrup,3,pump,TYtjpCV0URRaphM3IJjrQZDgHOZZY
2025-09-24T09:50:00.000000Z,#013020,Deduct,12oz cup,1,cup,TYtjpCV0URRaphM3IJjrQZDgHOZZY
2025-09-24T09:57:00.000000Z,#013021,Deduct,espresso,18,(g),lfcHNt4eobBZWgKrDf2v3INNLAUZY
2025-09-24T09:57:00.000000Z,#013021,Deduct,16oz cup,1,cup,lfcHNt4eobBZWgKrDf2v3INNLAUZY
2025-09-24T09:57:00.000000Z,#013021,Deduct,whole milk,4,(oz),lfcHNt4eobBZWgKrDf2v3INNLAUZY
