Timestamp,Reference_id,Action,Ingredient,Amount,Unit,Order_id
2025-10-02T08:00:00.000000Z,#013696,Deduct,espresso,29,(g),PSr7Pz7dpy6Wr2Y78i54PQeDYWNZY
2025-10-02T08:00:00.000000Z,#013696,Deduct,4oz cup,1,cup,PSr7Pz7dpy6Wr2Y78i54PQeDYWNZY
2025-10-02T08:00:00.000000Z,#013696,Deduct,whole milk,1,(oz),PSr7Pz7dpy6Wr2Y78i54PQeDYWNZY
2025-10-02T08:00:00.000000Z,#013696,Deduct,hazelnut syrup,3,pump,PSr7Pz7dpy6Wr2Y78i54PQeDYWNZY
2025-10-02T08:00:00.000000Z,#013696,Deduct,6oz cup,1,cup,PSr7Pz7dpy6Wr2Y78i54PQeDYWNZY
2025-10-02T08:00:00.000000Z,#013696,Deduct,soy milk,2,(oz),PSr7Pz7dpy6Wr2Y78i54PQeDYWNZY
2025-10-02T08:10:00.000000Z,#013697,Deduct,espresso,18,(g),zi44yvPTYN11jynUpESIKIvyAhWZY
2025-10-02T08:10:00.000000Z,#013697,Deduct,4oz cup,2,cup,zi44yvPTYN11jynUpESIKIvyAhWZY
2025-10-02T08:13:00.000000Z,#013698,Deduct,espresso,18,(g),TsZ6av2DdByImnvwbtacXYWPRLWZY
2025-10-02T08:13:00.000000Z,#013698,Deduct,4oz cup,1,cup,TsZ6av2DdByImnvwbtacXYWPRLWZY
2025-10-02T08:17:00.000000Z,#013699,Deduct,espresso,45,(g),Hyn47vDpHsH08jCinJZ7mJKMQWBZY
2025-10-02T08:17:00.000000Z,#013699,Deduct,4oz cup,1,cup,Hyn47vDpHsH08jCinJZ7mJKMQWBZY
2025-10-02T08:17:00.000000Z,#013699,Deduct,whole milk,5,(oz),Hyn47vDpHsH08jCinJZ7mJKMQWBZY
2025-10-02T08:17:00.000000Z,#013699,Deduct,16oz cup,1,cup,Hyn47vDpHsH08jCinJZ7mJKMQWBZY
2025-10-02T08:18:00.000000Z,#013700,Deduct,espresso,63,(g),XwqYJlm2PzvY7GGLYNDPtWQuXTdZY
2025-10-02T08:18:00.000000Z,#013700,Deduct,12oz cup,2,cup,XwqYJlm2PzvY7GGLYNDPtWQuXTdZY
2025-10-02T08:18:00.000000Z,#013700,Deduct,whole milk,2,(oz),XwqYJlm2PzvY7GGLYNDPtWQuXTdZY
2025-10-02T08:18:00.000000Z,#013700,Deduct,vanilla syrup,3,pump,XwqYJlm2PzvY7GGLYNDPtWQuXTdZY
2025-10-02T08:20:00.000000Z,#013701,Deduct,espresso,15,(g),LIRCYD7m9eRCIxjnUBwD0VBcdUOZY
2025-10-02T08:20:00.000000Z,#013701,Deduct,16oz cup,1,cup,LIRCYD7m9eRCIxjnUBwD0VBcdUOZY
2025-10-02T08:20:00.000000Z,#013701,Deduct,seasonal syrup,3,pump,LIRCYD7m9eRCIxjnUBwD0VBcdUOZY
2025-10-02T08:22:00.000000Z,#013702,Deduct,espresso,18,(g),xPFfMP5eideI2LwIZF5wrn4q6lWZY
2025-10-02T08:22:00.000000Z,#013702,Deduct,12oz cup,1,cup,xPFfMP5eideI2LwIZF5wrn4q6lWZY
2025-10-02T08:22:00.000000Z,#013702,Deduct,chocolate syrup,3,pump,xPFfMP5eideI2LwIZF5wrn4q6lWZY
2025-10-02T08:22:00.000000Z,#013702,Deduct,oat milk,8,(oz),xPFfMP5eideI2LwIZF5wrn4q6lWZY
2025-10-02T08:23:00.000000Z,#013703,Deduct,espresso,45,(g),P8mmZcyZrjYAthkkgLNjVDJlhwCZY
2025-10-02T08:23:00.000000Z,#013703,Deduct,4oz cup,1,cup,P8mmZcyZrjYAthkkgLNjVDJlhwCZY
2025-10-02T08:23:00.000000Z,#013703,Deduct,almond milk,2,(oz),P8mmZcyZrjYAthkkgLNjVDJlhwCZY
