Timestamp,Reference_id,Action,Ingredient,Amount,Unit,Order_id
2025-10-15T08:02:00.000000Z,#014996,Deduct,espresso,36,(g),x5oYbSlPKkhWPK6LlrsBzoVkeOVZY
2025-10-15T08:02:00.000000Z,#014996,Deduct,4oz cup,1,cup,x5oYbSlPKkhWPK6LlrsBzoVkeOVZY
2025-10-15T08:02:00.000000Z,#014996,Deduct,almond milk,10,(oz),x5oYbSlPKkhWPK6LlrsBzoVkeOVZY
2025-10-15T08:02:00.000000Z,#014996,Deduct,16oz cup,1,cup,x5oYbSlPKkhWPK6LlrsBzoVkeOVZY
2025-10-15T08:02:00.000000Z,#014996,Deduct,caramel syrup,3,pump,x5oYbSlPKkhWPK6LlrsBzoVkeOVZY
2025-10-15T08:04:00.000000Z,#014997,Deduct,espresso,27,(g),1L2TtFPMJb2foIATRgmHMe7vDqEZY
2025-10-15T08:04:00.000000Z,#014997,Deduct,6oz cup,1,cup,1L2TtFPMJb2foIATRgmHMe7vDqEZY
2025-10-15T08:04:00.000000Z,#014997,Deduct,oat milk,2,(oz),1L2TtFPMJb2foIATRgmHMe7vDqEZY
2025-10-15T08:08:00.000000Z,#014998,Deduct,espresso,27,(g),Lo5shKudz8QJOVmvhvhBcLlfXYHZY
2025-10-15T08:08:00.000000Z,#014998,Deduct,16oz cup,1,cup,Lo5shKudz8QJOVmvhvhBcLlfXYHZY
2025-10-15T08:08:00.000000Z,#014998,Deduct,almond milk,2,(oz),Lo5shKudz8QJOVmvhvhBcLlfXYHZY
2025-10-15T08:08:00.000000Z,#014998,Deduct,chocolate syrup,3,pump,Lo5shKudz8QJOVmvhvhBcLlfXYHZY
2025-10-15T08:09:00.000000Z,#014999,Deduct,espresso,27,(g),JZyERWKx0y3OEMkxEg1tBtwKAFYZY
2025-10-15T08:09:00.000000Z,#014999,Deduct,16oz cup,1,cup,JZyERWKx0y3OEMkxEg1tBtwKAFYZY
2025-10-15T08:09:00.000000Z,#014999,Deduct,caramel syrup,3,pump,JZyERWKx0y3OEMkxEg1tBtwKAFYZY
2025-10-15T08:12:00.000000Z,#015000,Deduct,espresso,18,(g),9Br3a69AU5En1YvoqaBpygIssAWZY
2025-10-15T08:12:00.000000Z,#015000,Deduct,16oz cup,1,cup,9Br3a69AU5En1YvoqaBpygIssAWZY
2025-10-15T08:12:00.000000Z,#015000,Deduct,almond milk,8,(oz),9Br3a69AU5En1YvoqaBpygIssAWZY
2025-10-15T08:14:00.000000Z,#015001,Deduct,espresso,36,(g),Fv4FN7O6mo6QjXNIXhDEmYeS14bZY
2025-10-15T08:14:00.000000Z,#015001,Deduct,16oz cup,1,cup,Fv4FN7O6mo6QjXNIXhDEmYeS14bZY
2025-10-15T08:14:00.000000Z,#015001,Deduct,whole milk,5,(oz),Fv4FN7O6mo6QjXNIXhDEmYeS14bZY
2025-10-15T08:14:00.000000Z,#015001,Deduct,hazelnut syrup,3,pump,Fv4FN7O6mo6QjXNIXhDEmYeS14bZY
2025-10-15T08:14:00.000000Z,#015001,Deduct,6oz cup,1,cup,Fv4FN7O6mo6QjXNIXhDEmYeS14bZY
2025-10-15T08:18:00.000000Z,#015002,Deduct,espresso,18,(g),pnLBhwZATHTftxMWpVLdEtNPUpCZY
2025-10-15T08:18:00.000000Z,#015002,Deduct,16oz cup,1,cup,pnLBhwZATHTftxMWpVLdEtNPUpCZY
2025-10-15T08:21:00.000000Z,#015003,Deduct,espresso,27,(g),DWobfskTBbofec40ts4fMZipjx9YY
2025-10-15T08:21:00.000000Z,#015003,Deduct,16oz cup,1,cup,DWobfskTBbofec40ts4fMZipjx9YY
