Timestamp,Reference_id,Action,Ingredient,Amount,Unit,Order_id
2025-10-04T08:00:00.000000Z,#013896,Deduct,espresso,9,(g),hvj4Q4HEKTo9EGdDOARdnwx8opDZY
2025-10-04T08:00:00.000000Z,#013896,Deduct,16oz cup,1,cup,hvj4Q4HEKTo9EGdDOARdnwx8opDZY
2025-10-04T08:00:00.000000Z,#013896,Deduct,almond milk,2,(oz),hvj4Q4HEKTo9EGdDOARdnwx8opDZY
2025-10-04T08:05:00.000000Z,#013897,Deduct,espresso,27,(g),ZHJokd3eWnRbqFppWjILh5L9R0LZY
2025-10-04T08:05:00.000000Z,#013897,Deduct,4oz cup,1,cup,ZHJokd3eWnRbqFppWjILh5L9R0LZY
2025-10-04T08:05:00.000000Z,#013897,Deduct,whole milk,9,(oz),ZHJokd3eWnRbqFppWjILh5L9R0LZY
2025-10-04T08:05:00.000000Z,#013897,Deduct,16oz cup,1,cup,ZHJokd3eWnRbqFppWjILh5L9R0LZY
2025-10-04T08:05:00.000000Z,#013897,Deduct,seasonal syrup,3,pump,ZHJokd3eWnRbqFppWjILh5L9R0LZY
2025-10-04T08:07:00.000000Z,#013898,Deduct,espresso,18,(g),n2nBwqcrQAlE0pbUpeWljWvdiKXZY
2025-10-04T08:07:00.000000Z,#013898,Deduct,12oz cup,1,cup,n2nBwqcrQAlE0pbUpeWljWvdiKXZY
2025-10-04T08:07:00.000000Z,#013898,Deduct,whole milk,8,(oz),n2nBwqcrQAlE0pbUpeWljWvdiKXZY
2025-10-04T08:07:00.000000Z,#013898,Deduct,chocolate syrup,3,pump,n2nBwqcrQAlE0pbUpeWljWvdiKXZY
2025-10-04T08:10:00.000000Z,#013899,Deduct,espresso,9,(g),JtG5xgfC7RUAabGms5Hx53byimaZY
2025-10-04T08:10:00.000000Z,#013899,Deduct,4oz cup,1,cup,JtG5xgfC7RUAabGms5Hx53byimaZY
2025-10-04T08:10:00.000000Z,#013899,Deduct,whole milk,1,(oz),JtG5xgfC7RUAabGms5Hx53byimaZY
2025-10-04T08:11:00.000000Z,#013900,Deduct,espresso,18,(g),5ZszJBJGtxnUtSZhQUmCwIkGAvHZY
2025-10-04T08:11:00.000000Z,#013900,Deduct,4oz cup,1,cup,5ZszJBJGtxnUtSZhQUmCwIkGAvHZY
2025-10-04T08:11:00.000000Z,#013900,Deduct,whole milk,1,(oz),5ZszJBJGtxnUtSZhQUmCwIkGAvHZY
2025-10-04T08:14:00.000000Z,#013901,Deduct,espresso,27,(g),HmLnQT7f7duyMebXFmmejT0NFEPZY
2025-10-04T08:14:00.000000Z,#013901,Deduct,16oz cup,1,cup,HmLnQT7f7duyMebXFmmejT0NFEPZY
2025-10-04T08:14:00.000000Z,#013901,Deduct,whole milk,8,(oz),HmLnQT7f7duyMebXFmmejT0NFEPZY
2025-10-04T08:17:00.000000Z,#013902,Deduct,espresso,9,(g),fQWZYIgS5iwPjwhNm9IEGrojsiIZY
2025-10-04T08:17:00.000000Z,#013902,Deduct,4oz cup,1,cup,fQWZYIgS5iwPjwhNm9IEGrojsiIZY
2025-10-04T08:17:00.000000Z,#013902,Deduct,almond milk,1,(oz),fQWZYIgS5iwPjwhNm9IEGrojsiIZY
2025-10-04T08:17:00.000000Z,#013902,Deduct,chocolate syrup,3,pump,fQWZYIgS5iwPjwhNm9IEGrojsiIZY
2025-10-04T08:17:00.000000Z,#013903,Deduct,espresso,15,(g),3Shvn8Cu5oI237Rbw4nONXZu1O6YY
2025-10-04T08:17:00.000000Z,#013903,Deduct,16oz cup,1,cup,3Shvn8Cu5oI237Rbw4nONXZu1O6YY
2025-10-04T08:17:00.000000Z,#013903,Deduct,almond milk,2,(oz),3Shvn8Cu5oI237Rbw4nONXZu1O6YY
2025-10-04T08:27:00.000000Z,#013904,Deduct,espresso,18,(g),RLxYflSdmh2icn88KVnjTXFHkObZY
2025-10-04T08:27:00.000000Z,#013904,Deduct,16oz cup,1,cup,RLxYflSdmh2icn88KVnjTXFHkObZY
2025-10-04T08:27:00.000000Z,#013904,Deduct,chocolate syrup,4,pump,RLxYflSdmh2icn88KVnjTXFHkObZY
2025-10-04T08:27:00.000000Z,#013904,Deduct,soy milk,8,(oz),RLxYflSdmh2icn88KVnjTXFHkObZY
